Restaurant ID,Country,City,Cuisines,Price,Rating
6317637,Philippines,Makati City,"French, Japanese, Desserts",3,4.8
6304287,Philippines,Makati City,Japanese,3,4.5
6300002,Philippines,Mandaluyong City,"Indian, Asian, Seafood, Filipino",4,4.4
6318506,Philippines,Mandaluyong City,"Sushi, Japanese",4,4.9
6314302,Philippines,Mandaluyong City,"Japanese, Korean",4,4.8
18189371,Philippines,Mandaluyong City,Chinese,3,4.4
6300781,Philippines,Pasay City,"Asian, European",4,4.0
6301290,Philippines,Pasay City,"Asian, Seafood, Filipino, European",4,4.2
6300010,Philippines,Pasay City,"Indian, Asian, European",4,4.9
6314987,Philippines,Pasig City,Filipino,3,4.8
6309903,Philippines,Pasig City,"Filipino, Mexican",3,4.9
6309455,Philippines,Pasig City,"Desserts, Ice Cream, American",3,4.2
6318433,Philippines,Quezon City,"Filipino, Mexican",3,4.8
6310470,Philippines,San Juan City,Filipino,3,4.2
6314605,Philippines,San Juan City,Korean,3,4.3
18185059,Philippines,Santa Rosa,"American, Italian, Filipino, Cafe",3,3.6
18182702,Philippines,Santa Rosa,"Pizza, Italian",3,4.0
6318213,Philippines,Tagaytay City,Filipino,3,4.5
18255654,Philippines,Taguig City,"Desserts, Korean, Cafe",2,4.5
6308205,Philippines,Taguig City,"Bakery, American, Italian, Cafe",4,4.4
6315438,Philippines,Taguig City,"Japanese, Mediterranean, Seafood, American",4,4.7
6310406,Philippines,Taguig City,"Italian, Asian, Seafood, American",4,4.5
6600681,Brazil,Brasí_lia,"French, Fast Food",2,3.0
6601005,Brazil,Brasí_lia,Cafe,1,3.8
6600292,Brazil,Brasí_lia,Bakery,2,3.7
6600441,Brazil,Brasí_lia,Brazilian,3,3.8
6600970,Brazil,Brasí_lia,Pizza,2,3.2
6600379,Brazil,Brasí_lia,Japanese,3,3.1
6600214,Brazil,Brasí_lia,Arabian,3,3.7
6601218,Brazil,Brasí_lia,Japanese,4,3.7
6600060,Brazil,Brasí_lia,"Brazilian, Cafe",1,0.0
6600083,Brazil,Brasí_lia,Italian,4,4.1
6601515,Brazil,Brasí_lia,Pizza,4,3.1
6601361,Brazil,Brasí_lia,"Bar Food, Brazilian",3,3.6
6601602,Brazil,Brasí_lia,"Grill, Mexican",4,4.3
6601589,Brazil,Brasí_lia,International,4,4.2
6601862,Brazil,Brasí_lia,"Latin American, Peruvian",4,3.6
6601595,Brazil,Brasí_lia,"Grill, American",4,4.0
6601158,Brazil,Brasí_lia,Seafood,4,3.2
6600427,Brazil,Brasí_lia,International,4,4.9
6600116,Brazil,Brasí_lia,Italian,4,3.3
6601457,Brazil,Brasí_lia,"Burger, American",2,3.6
7303219,Brazil,Rio de Janeiro,"Bar Food, Brazilian, Seafood",4,4.0
7304307,Brazil,Rio de Janeiro,"Desserts, Cafe",4,4.8
7301215,Brazil,Rio de Janeiro,"Juices, Healthy Food",3,4.7
7300596,Brazil,Rio de Janeiro,"Bar Food, Fast Food, Beverages",3,4.5
7300612,Brazil,Rio de Janeiro,Lebanese,4,4.2
7300704,Brazil,Rio de Janeiro,Burger,3,4.8
7300955,Brazil,Rio de Janeiro,"Bar Food, Brazilian",4,4.9
7300521,Brazil,Rio de Janeiro,"Healthy Food, Brazilian, Pizza, Juices",3,4.6
7300515,Brazil,Rio de Janeiro,"Bar Food, Brazilian",4,4.9
7300483,Brazil,Rio de Janeiro,Brazilian,4,4.6
7301064,Brazil,Rio de Janeiro,Brazilian,3,4.3
7304312,Brazil,Rio de Janeiro,Italian,4,4.0
7300004,Brazil,Rio de Janeiro,Japanese,4,4.6
7300868,Brazil,Rio de Janeiro,"Bakery, Sandwich, Brazilian",4,4.4
7302637,Brazil,Rio de Janeiro,Brazilian,2,4.2
7302140,Brazil,Rio de Janeiro,"Brazilian, Seafood",4,4.2
7305048,Brazil,Rio de Janeiro,"Bar Food, Brazilian",3,0.0
7302898,Brazil,Rio de Janeiro,Brazilian,4,4.7
7302859,Brazil,Rio de Janeiro,"Bar Food, Brazilian",3,4.6
7301700,Brazil,Rio de Janeiro,"Bar Food, Brazilian",3,4.3
6706313,Brazil,Sí£o Paulo,"Pizza, Italian",4,4.5
6704326,Brazil,Sí£o Paulo,"BBQ, Steak",4,4.4
6711179,Brazil,Sí£o Paulo,Indian,3,3.1
6702797,Brazil,Sí£o Paulo,Brazilian,4,4.1
6700475,Brazil,Sí£o Paulo,"International, Beverages",4,4.8
6713413,Brazil,Sí£o Paulo,"French, Brazilian, Beverages",4,4.6
6714340,Brazil,Sí£o Paulo,"Brazilian, Grill",3,3.9
6710645,Brazil,Sí£o Paulo,Brazilian,2,0.0
6700402,Brazil,Sí£o Paulo,French,4,3.4
6700846,Brazil,Sí£o Paulo,"Sushi, Japanese",4,3.5
6702159,Brazil,Sí£o Paulo,"Brazilian, Grill, BBQ",4,4.3
6711666,Brazil,Sí£o Paulo,Sushi,4,3.9
6701257,Brazil,Sí£o Paulo,"Fast Food, Burger",4,4.3
6706211,Brazil,Sí£o Paulo,"Brazilian, Italian",4,4.3
6705858,Brazil,Sí£o Paulo,Italian,4,4.4
6701419,Brazil,Sí£o Paulo,"Brazilian, Mineira",3,0.0
6703956,Brazil,Sí£o Paulo,Brazilian,2,0.0
6709580,Brazil,Sí£o Paulo,"North Eastern, Brazilian",4,4.4
